# "Grounds speed, mid data and smoothed data, extrapolated."
#
# Notes:
# Columns
# 1: Time (s)
# 2: Ground speed, mid values (knots).
# 3: Time, minimum (s).
# 4: Time, maximum (s).
# 5: Ground speed, min values (knots).
# 6: Ground speed, max values (knots).
# 7: Ground speed extrapolated, mid values (knots).
# 8: Ground speed extrapolated, min values (knots).
# 9: Ground speed extrapolated, max values (knots).
18.5      154.531   18.300   18.633  143.263  164.563 NaN      NaN      NaN     
18.8      154.534   18.600   18.933  143.510  164.372 NaN      NaN      NaN     
19.0     NaN      NaN      NaN      NaN      NaN       156.902  146.902  166.902
19.7      161.174   19.517   19.850  149.956  171.360 NaN      NaN      NaN     
20.0     NaN      NaN      NaN      NaN      NaN       159.088  149.088  169.088
20.3      164.686   20.092   20.425  153.427  175.003 NaN      NaN      NaN     
21.0     NaN      NaN      NaN      NaN      NaN       161.233  151.233  171.233
21.0      164.558   20.875   21.208  153.882  174.424 NaN      NaN      NaN     
21.9      160.807   21.717   22.050  151.150  169.785 NaN      NaN      NaN     
22.0     NaN      NaN      NaN      NaN      NaN       163.337  153.337  173.337
22.3      167.996   22.133   22.467  157.764  177.607 NaN      NaN      NaN     
22.6      160.602   22.417   22.750  151.409  169.214 NaN      NaN      NaN     
23.0     NaN      NaN      NaN      NaN      NaN       165.400  155.400  175.400
23.3      163.973   23.175   23.508  154.816  172.677 NaN      NaN      NaN     
24.0     NaN      NaN      NaN      NaN      NaN       167.421  157.421  177.421
24.5      167.613   24.300   24.633  158.633  176.311 NaN      NaN      NaN     
24.8      175.606   24.650   24.983  165.944  185.065 NaN      NaN      NaN     
25.0     NaN      NaN      NaN      NaN      NaN       169.399  159.399  179.399
26.0     NaN      NaN      NaN      NaN      NaN       171.334  161.334  181.334
26.6      167.404   26.417   26.750  159.383  175.415 NaN      NaN      NaN     
27.0     NaN      NaN      NaN      NaN      NaN       173.225  163.225  183.225
28.0     NaN      NaN      NaN      NaN      NaN       175.073  165.073  185.073
28.0      175.510   27.850   28.183  167.177  184.051 NaN      NaN      NaN     
29.0     NaN      NaN      NaN      NaN      NaN       176.876  166.876  186.876
29.1      175.355   28.917   29.250  167.404  183.621 NaN      NaN      NaN     
30.0     NaN      NaN      NaN      NaN      NaN       178.634  168.634  188.634
31.0     NaN      NaN      NaN      NaN      NaN       180.347  170.347  190.347
32.0     NaN      NaN      NaN      NaN      NaN       182.013  172.013  192.013
32.1      182.953   31.933   32.267  174.713  192.278 NaN      NaN      NaN     
32.4      182.953   32.233   32.567  174.704  192.379 NaN      NaN      NaN     
33.0     NaN      NaN      NaN      NaN      NaN       183.633  173.633  193.633
34.0     NaN      NaN      NaN      NaN      NaN       185.207  175.207  195.207
35.0     NaN      NaN      NaN      NaN      NaN       186.733  176.732  196.733
36.0     NaN      NaN      NaN      NaN      NaN       188.210  178.210  198.210
37.0     NaN      NaN      NaN      NaN      NaN       189.640  179.640  199.640
38.0     NaN      NaN      NaN      NaN      NaN       191.021  181.021  201.021
39.0     NaN      NaN      NaN      NaN      NaN       192.352  182.352  202.352
