# Notes:
# "Estimated x/y of observer."
# Columns:
# 1: x (m)
# 2: y minumum (m)
# 3: y mid (m)
# 4: y maximum (m)
3466.9   NaN      -744.481 NaN     
3467.0   NaN      -744.360 NaN     
3467.1   NaN      -744.072 NaN     
3467.3   NaN      -743.972 NaN     
3467.3   NaN      -743.934 NaN     
3467.7   NaN      NaN      -724.575
3467.9   NaN      -743.378 NaN     
3468.0   NaN      NaN      -723.906
3468.3   NaN      NaN      -723.886
3468.5   NaN      -743.035 NaN     
3468.9   NaN      -742.754 NaN     
3469.0   NaN      NaN      -723.681
3469.0   NaN      NaN      -723.601
3469.2   NaN      -742.392 NaN     
3469.5   NaN      NaN      -723.561
3469.7   NaN      NaN      -722.906
3469.8   NaN      NaN      -722.886
3470.6   NaN      -733.035 NaN     
3471.0   NaN      -732.842 NaN     
3471.1   NaN      NaN      -722.503
3471.9   NaN      NaN      -722.392
3472.3   NaN      NaN      -722.161
3472.8   NaN      NaN      -721.495
3473.6   NaN      NaN      -721.023
3473.7   NaN      NaN      -720.783
3474.4   NaN      NaN      -720.625
3474.7   NaN      NaN      -720.389
3474.8   NaN      NaN      -720.058
3475.0   NaN      NaN      -719.445
3475.5   NaN      NaN      -718.913
3476.2   NaN      NaN      -718.787
3476.6   NaN      NaN      -718.741
3477.1   NaN      NaN      -718.741
3477.4   NaN      NaN      -718.678
3478.3   NaN      NaN      -718.528
3478.7   NaN      NaN      -718.283
3478.8   NaN      NaN      -717.949
3480.8   NaN      NaN      -717.243
3481.2   NaN      NaN      -716.548
3481.5   NaN      NaN      -716.368
3481.7   NaN      NaN      -716.356
3482.2   NaN      NaN      -716.012
3482.5   NaN      NaN      -715.759
3483.1   NaN      NaN      -715.727
3483.4   NaN      NaN      -715.499
3483.6   NaN      NaN      -714.612
3484.4   NaN      NaN      -714.485
3484.8   NaN      NaN      -714.352
3485.0   NaN      NaN      -713.377
3485.2   NaN      NaN      -713.040
3485.3   NaN      NaN      -712.408
3486.4   NaN      NaN      -712.273
3486.8   NaN      NaN      -711.938
3486.9   NaN      NaN      -711.243
3487.1   NaN      NaN      -710.986
3488.1   NaN      NaN      -710.715
3488.2   NaN      NaN      -710.537
3489.1   NaN      NaN      -710.269
3490.1   NaN      NaN      -710.151
3490.4   NaN      NaN      -710.106
3490.9   NaN      NaN      -710.005
3491.3   NaN      NaN      -708.899
3491.8   NaN      NaN      -708.838
3493.0   NaN      NaN      -708.514
3493.2   NaN      NaN      -708.413
3493.4   NaN      NaN      -708.213
3493.6   NaN      NaN      -707.929
3493.8   NaN      NaN      -707.678
3494.2   NaN      NaN      -706.444
3494.3   NaN      NaN      -706.211
3494.3   NaN      NaN      -705.676
3495.4   NaN      NaN      -705.594
3495.5   NaN      NaN      -703.930
3496.0   NaN      NaN      -703.251
3496.3   NaN      NaN      -703.024
3496.5   NaN      NaN      -702.986
3496.9   NaN      NaN      -702.569
3497.3   NaN      NaN      -702.448
3497.7   NaN      NaN      -702.332
3497.7   NaN      NaN      -701.284
3499.0   NaN      NaN      -701.262
3499.0   NaN      NaN      -700.964
3499.4   NaN      NaN      -700.796
3499.5   NaN      NaN      -700.540
3499.6   NaN      NaN      -699.391
3500.2   NaN      NaN      -699.345
3501.0   NaN      NaN      -698.111
3501.1   NaN      NaN      -696.042
3502.4   NaN      NaN      -693.519
3502.7   NaN      NaN      -692.568
3503.0   NaN      NaN      -692.411
3503.3   NaN      NaN      -691.236
3503.9   NaN      NaN      -691.015
3504.3   NaN      NaN      -690.784
3504.6   NaN      NaN      -688.234
3506.7   NaN      NaN      -687.576
3506.9   NaN      NaN      -682.139
3508.2   NaN      NaN      -680.953
3508.4   NaN      NaN      -678.372
3512.5   NaN      NaN      -677.277
